number_people,date,day_of_week,month,hour,gymId
37,2021-08-14 17:00,5,8,17,19
45,2021-08-14 17:20,5,8,17,9
40,2021-08-14 17:30,5,8,17,9
44,2021-08-14 17:40,5,8,17,17
45,2021-08-14 17:50,5,8,17,15
46,2021-08-14 18:00,5,8,18,14
43,2021-08-14 18:20,5,8,18,1
53,2021-08-14 18:30,5,8,18,19
26,2021-08-14 18:40,5,8,18,12
43,2021-08-14 18:50,5,8,18,19
39,2021-08-14 19:00,5,8,19,3
38,2021-08-14 19:20,5,8,19,8
27,2021-08-14 19:30,5,8,19,12
41,2021-08-14 19:40,5,8,19,9
29,2021-08-14 19:50,5,8,19,12
42,2021-08-14 20:00,5,8,20,17
35,2021-08-14 20:21,5,8,20,18
36,2021-08-14 20:31,5,8,20,10
48,2021-08-14 20:41,5,8,20,19
40,2021-08-14 20:51,5,8,20,11
36,2021-08-14 21:01,5,8,21,4
37,2021-08-14 21:20,5,8,21,10
48,2021-08-14 21:30,5,8,21,20
45,2021-08-14 21:40,5,8,21,11
27,2021-08-14 21:50,5,8,21,12
38,2021-08-14 22:00,5,8,22,15
41,2021-08-14 22:20,5,8,22,11
41,2021-08-14 22:30,5,8,22,14
37,2021-08-14 22:40,5,8,22,16
33,2021-08-14 22:50,5,8,22,10
22,2021-08-14 23:00,5,8,23,13
2,2021-08-14 23:20,5,8,23,14
1,2021-08-14 23:30,5,8,23,7
0,2021-08-14 23:40,5,8,23,8
0,2021-08-14 23:50,5,8,23,2
0,2021-08-15 0:00,6,8,0,7
1,2021-08-15 0:20,6,8,0,10
0,2021-08-15 0:30,6,8,0,8
0,2021-08-15 0:40,6,8,0,3
0,2021-08-15 0:50,6,8,0,19
0,2021-08-15 1:00,6,8,1,4
0,2021-08-15 5:20,6,8,5,15
1,2021-08-15 5:30,6,8,5,20
0,2021-08-15 5:40,6,8,5,1
1,2021-08-15 5:50,6,8,5,3
1,2021-08-15 6:00,6,8,6,3
0,2021-08-15 6:20,6,8,6,6
0,2021-08-15 6:30,6,8,6,17
0,2021-08-15 6:40,6,8,6,15
0,2021-08-15 6:50,6,8,6,1
0,2021-08-15 7:00,6,8,7,8
0,2021-08-15 7:20,6,8,7,2
0,2021-08-15 7:30,6,8,7,20
3,2021-08-15 7:40,6,8,7,2
2,2021-08-15 7:50,6,8,7,5
6,2021-08-15 8:00,6,8,8,6
15,2021-08-15 8:20,6,8,8,4
22,2021-08-15 8:30,6,8,8,18
18,2021-08-15 8:40,6,8,8,6
21,2021-08-15 8:50,6,8,8,18
26,2021-08-15 9:00,6,8,9,19
23,2021-08-15 9:20,6,8,9,8
23,2021-08-15 9:30,6,8,9,13
28,2021-08-15 9:40,6,8,9,1
23,2021-08-15 9:50,6,8,9,13
22,2021-08-15 10:00,6,8,10,2
30,2021-08-15 10:20,6,8,10,10
32,2021-08-15 10:30,6,8,10,19
36,2021-08-15 10:40,6,8,10,14
29,2021-08-15 10:50,6,8,10,12
34,2021-08-15 11:00,6,8,11,5
36,2021-08-15 11:20,6,8,11,4
32,2021-08-15 11:30,6,8,11,13
27,2021-08-15 11:40,6,8,11,12
26,2021-08-15 11:50,6,8,11,20
36,2021-08-15 12:00,6,8,12,18
37,2021-08-15 12:20,6,8,12,16
38,2021-08-15 12:30,6,8,12,4
30,2021-08-15 12:40,6,8,12,11
34,2021-08-15 12:50,6,8,12,2
26,2021-08-15 13:00,6,8,13,3
33,2021-08-15 13:20,6,8,13,6
31,2021-08-15 13:30,6,8,13,10
26,2021-08-15 13:40,6,8,13,4
26,2021-08-15 13:50,6,8,13,7
26,2021-08-15 14:00,6,8,14,6
23,2021-08-15 14:20,6,8,14,18
